device_id,shift_code,event_id,event_start_time,event_end_time
92,A,60918,"2023-10-17 11:00:00","2023-10-17 11:10:00"
91,B,74704,"2023-10-17 14:30:00","2023-10-17 14:35:03"
92,B,74686,"2023-10-17 14:30:00","2023-10-17 14:35:09"
92,A,59121,"2023-10-17 09:10:01","2023-10-17 11:10:00"
91,C,30773,"2023-10-17 05:55:00","2023-10-17 05:59:03"
92,B,12339,"2023-10-17 21:07:01","2023-10-17 22:59:09"
92,B,12339,"2023-10-17 21:07:01","2023-10-17 22:59:00"
91,B,12801,"2023-10-17 22:55:00","2023-10-17 22:59:03"
85,A,59119,"2023-10-17 09:30:00","2023-10-17 11:30:00"
92,A,60918,"2023-10-17 11:21:00","2023-10-17 12:00:00"
91,B,74704,"2023-10-17 14:35:00","2023-10-17 14:40:00"
91,B,74704,"2023-10-17 14:31:00","2023-10-17 14:40:00"
91,B,74704,"2023-10-17 14:31:00","2023-10-17 14:40:00"
92,B,74686,"2023-10-17 14:35:00","2023-10-17 15:30:00"
92,B,74686,"2023-10-17 14:31:00","2023-10-17 15:30:00"
92,B,74686,"2023-10-17 14:31:00","2023-10-17 15:30:00"
92,A,59121,"2023-10-17 11:21:00","2023-10-17 11:30:00"
92,B,12339,"2023-10-17 22:55:00","2023-10-17 23:00:00"
85,A,30466,"2023-10-17 06:00:11","2023-10-17 06:01:00"
85,A,31009,"2023-10-17 06:01:00","2023-10-17 06:05:00"
85,A,4485,"2023-10-17 07:01:15","2023-10-17 07:01:15"
85,A,74478,"2023-10-17 14:29:11","2023-10-17 14:30:00"
85,A,74554,"2023-10-17 14:25:00","2023-10-17 14:29:00"
91,A,74232,"2023-10-17 12:00:03","2023-10-17 14:25:00"
92,A,31000,"2023-10-17 06:01:00","2023-10-17 06:05:00"
92,A,46841,"2023-10-17 07:08:41","2023-10-17 09:00:00"
85,A,30818,"2023-10-17 06:00:00","2023-10-17 06:01:00"
85,A,60923,"2023-10-17 11:00:00","2023-10-17 12:00:00"
85,A,74730,"2023-10-17 14:29:00","2023-10-17 14:30:00"
85,A,46837,"2023-10-17 06:05:11","2023-10-17 09:00:00"
85,A,74205,"2023-10-17 12:00:03","2023-10-17 14:25:00"
91,A,30967,"2023-10-17 06:01:00","2023-10-17 06:05:00"
91,A,74704,"2023-10-17 14:29:00","2023-10-17 14:30:00"
92,A,74233,"2023-10-17 12:00:03","2023-10-17 14:25:00"
91,A,47393,"2023-10-17 09:00:00","2023-10-17 09:10:00"
91,A,59120,"2023-10-17 09:10:01","2023-10-17 11:30:00"
91,A,60909,"2023-10-17 11:00:00","2023-10-17 12:00:00"
92,A,30470,"2023-10-17 06:00:09","2023-10-17 06:01:00"
92,A,30820,"2023-10-17 06:00:00","2023-10-17 06:01:00"
91,A,30469,"2023-10-17 06:00:03","2023-10-17 06:01:00"
91,A,31556,"2023-10-17 06:05:03","2023-10-17 06:10:11"
92,A,36834,"2023-10-17 06:05:09","2023-10-17 07:08:41"
91,A,46840,"2023-10-17 06:10:11","2023-10-17 09:00:00"
91,A,74499,"2023-10-17 14:29:03","2023-10-17 14:30:00"
92,A,74686,"2023-10-17 14:29:00","2023-10-17 14:30:00"
91,A,4469,"2023-10-17 07:01:15","2023-10-17 07:01:15"
91,A,30802,"2023-10-17 06:00:00","2023-10-17 06:01:00"
91,A,74557,"2023-10-17 14:25:00","2023-10-17 14:29:00"
92,A,74562,"2023-10-17 14:25:00","2023-10-17 14:29:00"
92,A,4497,"2023-10-17 07:01:15","2023-10-17 07:01:15"
92,A,47323,"2023-10-17 09:00:00","2023-10-17 09:10:00"
92,A,74501,"2023-10-17 14:29:09","2023-10-17 14:30:00"
85,A,30596,"2023-10-17 06:00:00","2023-10-17 06:03:00"
91,A,30773,"2023-10-17 06:00:00","2023-10-17 06:01:00"
92,A,30591,"2023-10-17 06:00:00","2023-10-17 06:04:00"
